,순위,제목,변동,변동값
0,01,테스와 보낸 여름,불변,0
1,02,뮬란,불변,0
2,03,테넷,불변,0
3,04,기기괴괴 성형수,불변,0
4,05,다만 악에서 구하소서,불변,0
5,06,오! 문희,불변,0
6,07,뉴 뮤턴트,불변,0
7,08,도망친 여자,상승,1
8,09,오케이 마담,하강,1
9,10,검객,상승,1
10,11,악마는 사라지지 않는다,하강,1
11,12,디바,상승,3
12,13,더 렌탈: 소리없는 감시자,상승,1
13,14,에이바,하강,2
14,15,비독: 파리의 황제,상승,1
15,16,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,상승,2
16,17,아웃포스트,상승,7
17,18,후쿠오카,상승,2
18,19,지니어스 독,불변,0
19,20,매지컬: 공주를 웃겨라,상승,3
20,21,소리도 없이,상승,1
21,22,국제수사,상승,4
22,23,죽지않는 인간들의 밤,상승,4
23,24,담보,상승,1
24,25,공포분자,상승,3
25,26,어트랙션,상승,6
26,27,설계,하강,14
27,28,그린랜드,상승,8
28,29,반도,불변,0
29,30,군달라: 슈퍼히어로의 탄생,상승,4
30,31,남매의 여름밤,상승,7
31,32,#살아있다,상승,5
32,33,리얼파이터,상승,7
33,34,소년시절의 너,상승,10
34,35,뮬란,상승,8
35,36,나를 구하지 마세요,하강,5
36,37,드라이브,하강,4
37,38,파이널 킬,상승,21
38,39,이별의 목적,상승,3
39,40,소원택시,하강,23
40,41,붉은 바캉스 검은 웨딩,하강,20
41,42,살로메,상승,5
42,43,다시 만난 날들,상승,10
43,44,아무도 없다,하강,3
44,45,가버나움,상승,3
45,46,범죄도시 2,하강,1
46,47,프란시스 하,상승,21
47,48,그린 북,상승,1
48,49,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",상승,7
49,50,야누스: 욕망의 두 얼굴,하강,20
